"TOWN","variable","value"
"Preston town","X15M1014",146
"Prospect town","X15M1014",319
"Putnam town","X15M1014",334
"Redding town","X15M1014",419
"Ridgefield town","X15M1014",1242
"Rocky Hill town","X15M1014",560
"Roxbury town","X15M1014",75
"Salem town","X15M1014",158
"Salisbury town","X15M1014",94
"Scotland town","X15M1014",55
"Seymour town","X15M1014",547
"Sharon town","X15M1014",70
"Shelton town","X15M1014",1235
"Sherman town","X15M1014",127
"Simsbury town","X15M1014",1066
"Somers town","X15M1014",374
"South Windsor town","X15M1014",1019
"Southbury town","X15M1014",722
"Southington town","X15M1014",1607
"Sprague town","X15M1014",114
"Stafford town","X15M1014",394
"Stamford town","X15M1014",3027
"Sterling town","X15M1014",149
"Stonington town","X15M1014",611
"Stratford town","X15M1014",1627
"Suffield town","X15M1014",442
"Thomaston town","X15M1014",274
"Thompson town","X15M1014",290
"Tolland town","X15M1014",712
"Torrington town","X15M1014",1090
"Trumbull town","X15M1014",1560
"Union town","X15M1014",27
"Vernon town","X15M1014",717
"Voluntown town","X15M1014",84
"Wallingford town","X15M1014",1307
"Warren town","X15M1014",51
"Washington town","X15M1014",102
"Waterbury town","X15M1014",3689
"Waterford town","X15M1014",623
"Watertown town","X15M1014",709
"West Hartford town","X15M1014",2335
"West Haven town","X15M1014",1541
"Westbrook town","X15M1014",191
"Weston town","X15M1014",644
"Westport town","X15M1014",1463
"Wethersfield town","X15M1014",810
"Willington town","X15M1014",180
"Wilton town","X15M1014",978
"Winchester town","X15M1014",348
"Windham town","X15M1014",629
"Windsor Locks town","X15M1014",368
"Windsor town","X15M1014",803
"Wolcott town","X15M1014",647
"Woodbridge town","X15M1014",350
"Woodbury town","X15M1014",330
"Woodstock town","X15M1014",309
"","X15M1014",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M1014",NA
"Andover town","X15M1519",151
"Ansonia town","X15M1519",721
"Ashford town","X15M1519",170
"Avon town","X15M1519",921
"Barkhamsted town","X15M1519",158
"Beacon Falls town","X15M1519",226
"Berlin town","X15M1519",762
"Bethany town","X15M1519",249
"Bethel town","X15M1519",674
"Bethlehem town","X15M1519",145
"Bloomfield town","X15M1519",628
"Bolton town","X15M1519",208
"Bozrah town","X15M1519",84
"Branford town","X15M1519",783
"Bridgeport town","X15M1519",4447
"Bridgewater town","X15M1519",67
"Bristol town","X15M1519",1948
"Brookfield town","X15M1519",737
"Brooklyn town","X15M1519",297
"Burlington town","X15M1519",474
"Canaan town","X15M1519",33
"Canterbury town","X15M1519",211
"Canton town","X15M1519",426
"Chaplin town","X15M1519",68
"Cheshire town","X15M1519",1791
"Chester town","X15M1519",140
"Clinton town","X15M1519",423
"Colchester town","X15M1519",690
"Colebrook town","X15M1519",47
"Columbia town","X15M1519",200
"Cornwall town","X15M1519",48
"Coventry town","X15M1519",506
"Cromwell town","X15M1519",488
"Danbury town","X15M1519",2145
"Darien town","X15M1519",1221
"Deep River town","X15M1519",146
"Derby town","X15M1519",357
"Durham town","X15M1519",351
"East Granby town","X15M1519",220
"East Haddam town","X15M1519",356
"East Hampton town","X15M1519",453
"East Hartford town","X15M1519",1674
"East Haven town","X15M1519",880
"East Lyme town","X15M1519",602
"East Windsor town","X15M1519",323
"Eastford town","X15M1519",70
"Easton town","X15M1519",418
"Ellington town","X15M1519",592
"Enfield town","X15M1519",1334
"Essex town","X15M1519",227
"Fairfield town","X15M1519",3119
"Farmington town","X15M1519",995
"Franklin town","X15M1519",69
"Glastonbury town","X15M1519",1591
"Goshen town","X15M1519",112
"Granby town","X15M1519",521
"Greenwich town","X15M1519",2684
"Griswold town","X15M1519",448
"Groton town","X15M1519",1113
"Guilford town","X15M1519",958
"Haddam town","X15M1519",348
"Hamden town","X15M1519",2493
"Hampton town","X15M1519",65
"Hartford town","X15M1519",4942
"Hartland town","X15M1519",69
"Harwinton town","X15M1519",216
"Hebron town","X15M1519",569
"Kent town","X15M1519",71
"Killingly town","X15M1519",612
"Killingworth town","X15M1519",252
"Lebanon town","X15M1519",293
"Ledyard town","X15M1519",654
"Lisbon town","X15M1519",205
"Litchfield town","X15M1519",296
"Lyme town","X15M1519",94
"Madison town","X15M1519",965
"Manchester town","X15M1519",1661
"Mansfield town","X15M1519",2858
"Marlborough town","X15M1519",249
"Meriden town","X15M1519",2083
"Middlebury town","X15M1519",331
"Middlefield town","X15M1519",182
"Middletown town","X15M1519",1767
"Milford town","X15M1519",1725
"Monroe town","X15M1519",939
"Montville town","X15M1519",783
"Morris town","X15M1519",103
"Naugatuck town","X15M1519",1112
"New Britain town","X15M1519",2842
"New Canaan town","X15M1519",1141
"New Fairfield town","X15M1519",702
"New Hartford town","X15M1519",280
"New Haven town","X15M1519",5051
"New London town","X15M1519",1103
"New Milford town","X15M1519",1094
"Newington town","X15M1519",930
"Newtown town","X15M1519",1443
"Norfolk town","X15M1519",77
"North Branford town","X15M1519",575
"North Canaan town","X15M1519",100
"North Haven town","X15M1519",882
"North Stonington town","X15M1519",195
"Norwalk town","X15M1519",2323
"Norwich town","X15M1519",1263
"Old Lyme town","X15M1519",281
"Old Saybrook town","X15M1519",352
"Orange town","X15M1519",643
"Oxford town","X15M1519",549
"Plainfield town","X15M1519",564
"Plainville town","X15M1519",544
"Plymouth town","X15M1519",508
"Pomfret town","X15M1519",190
"Portland town","X15M1519",353
"Preston town","X15M1519",174
"Prospect town","X15M1519",346
"Putnam town","X15M1519",371
"Redding town","X15M1519",436
"Ridgefield town","X15M1519",1436
"Rocky Hill town","X15M1519",619
"Roxbury town","X15M1519",101
"Salem town","X15M1519",190
"Salisbury town","X15M1519",112
"Scotland town","X15M1519",87
"Seymour town","X15M1519",589
"Sharon town","X15M1519",49
"Shelton town","X15M1519",1344
"Sherman town","X15M1519",150
"Simsbury town","X15M1519",1257
"Somers town","X15M1519",459
"South Windsor town","X15M1519",1090
"Southbury town","X15M1519",741
"Southington town","X15M1519",1591
"Sprague town","X15M1519",84
"Stafford town","X15M1519",433
"Stamford town","X15M1519",3371
"Sterling town","X15M1519",149
"Stonington town","X15M1519",611
"Stratford town","X15M1519",1757
"Suffield town","X15M1519",739
"Thomaston town","X15M1519",330
"Thompson town","X15M1519",369
"Tolland town","X15M1519",756
"Torrington town","X15M1519",1129
"Trumbull town","X15M1519",1619
"Union town","X15M1519",22
"Vernon town","X15M1519",746
"Voluntown town","X15M1519",68
"Wallingford town","X15M1519",1438
"Warren town","X15M1519",62
"Washington town","X15M1519",131
"Waterbury town","X15M1519",4023
"Waterford town","X15M1519",754
"Watertown town","X15M1519",815
"West Hartford town","X15M1519",2374
"West Haven town","X15M1519",2170
"Westbrook town","X15M1519",248
"Weston town","X15M1519",633
"Westport town","X15M1519",1365
"Wethersfield town","X15M1519",921
"Willington town","X15M1519",199
"Wilton town","X15M1519",1053
"Winchester town","X15M1519",388
"Windham town","X15M1519",1333
"Windsor Locks town","X15M1519",417
"Windsor town","X15M1519",1062
"Wolcott town","X15M1519",725
"Woodbridge town","X15M1519",420
"Woodbury town","X15M1519",363
"Woodstock town","X15M1519",349
"","X15M1519",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M1519",NA
"Andover town","X15M2024",131
"Ansonia town","X15M2024",648
"Ashford town","X15M2024",129
"Avon town","X15M2024",534
"Barkhamsted town","X15M2024",122
"Beacon Falls town","X15M2024",185
"Berlin town","X15M2024",561
"Bethany town","X15M2024",229
"Bethel town","X15M2024",567
"Bethlehem town","X15M2024",124
"Bloomfield town","X15M2024",572
"Bolton town","X15M2024",148
"Bozrah town","X15M2024",85
"Branford town","X15M2024",650
"Bridgeport town","X15M2024",5626
"Bridgewater town","X15M2024",53
"Bristol town","X15M2024",1723
"Brookfield town","X15M2024",543
"Brooklyn town","X15M2024",245
"Burlington town","X15M2024",318
"Canaan town","X15M2024",32
"Canterbury town","X15M2024",175
"Canton town","X15M2024",296
"Chaplin town","X15M2024",58
"Cheshire town","X15M2024",1229
"Chester town","X15M2024",88
"Clinton town","X15M2024",333
"Colchester town","X15M2024",550
"Colebrook town","X15M2024",63
"Columbia town","X15M2024",141
"Cornwall town","X15M2024",42
"Coventry town","X15M2024",407
"Cromwell town","X15M2024",354
"Danbury town","X15M2024",2994
"Darien town","X15M2024",566
"Deep River town","X15M2024",148
"Derby town","X15M2024",369
"Durham town","X15M2024",238
"East Granby town","X15M2024",135
"East Haddam town","X15M2024",279
"East Hampton town","X15M2024",384
"East Hartford town","X15M2024",1843
"East Haven town","X15M2024",873
"East Lyme town","X15M2024",609
"East Windsor town","X15M2024",290
"Eastford town","X15M2024",54
"Easton town","X15M2024",200
"Ellington town","X15M2024",438
"Enfield town","X15M2024",1734
"Essex town","X15M2024",168
"Fairfield town","X15M2024",1982
"Farmington town","X15M2024",681
"Franklin town","X15M2024",71
"Glastonbury town","X15M2024",990
"Goshen town","X15M2024",94
"Granby town","X15M2024",355
"Greenwich town","X15M2024",1561
"Griswold town","X15M2024",433
"Groton town","X15M2024",2242
"Guilford town","X15M2024",584
"Haddam town","X15M2024",244
"Hamden town","X15M2024",2357
"Hampton town","X15M2024",56
"Hartford town","X15M2024",6222
"Hartland town","X15M2024",63
"Harwinton town","X15M2024",197
"Hebron town","X15M2024",313
"Kent town","X15M2024",42
"Killingly town","X15M2024",538
"Killingworth town","X15M2024",192
"Lebanon town","X15M2024",252
"Ledyard town","X15M2024",437
"Lisbon town","X15M2024",156
"Litchfield town","X15M2024",304
"Lyme town","X15M2024",54
"Madison town","X15M2024",571
"Manchester town","X15M2024",1561
"Mansfield town","X15M2024",4776
"Marlborough town","X15M2024",164
"Meriden town","X15M2024",1868
"Middlebury town","X15M2024",240
"Middlefield town","X15M2024",140
"Middletown town","X15M2024",1873
"Milford town","X15M2024",1316
"Monroe town","X15M2024",647
"Montville town","X15M2024",941
"Morris town","X15M2024",62
"Naugatuck town","X15M2024",1006
"New Britain town","X15M2024",3174
"New Canaan town","X15M2024",627
"New Fairfield town","X15M2024",477
"New Hartford town","X15M2024",192
"New Haven town","X15M2024",6482
"New London town","X15M2024",1914
"New Milford town","X15M2024",879
"Newington town","X15M2024",925
"Newtown town","X15M2024",846
"Norfolk town","X15M2024",39
"North Branford town","X15M2024",422
"North Canaan town","X15M2024",97
"North Haven town","X15M2024",714
"North Stonington town","X15M2024",143
"Norwalk town","X15M2024",2187
"Norwich town","X15M2024",1345
"Old Lyme town","X15M2024",173
"Old Saybrook town","X15M2024",259
"Orange town","X15M2024",402
"Oxford town","X15M2024",377
"Plainfield town","X15M2024",520
"Plainville town","X15M2024",542
"Plymouth town","X15M2024",388
"Pomfret town","X15M2024",173
"Portland town","X15M2024",276
"Preston town","X15M2024",129
"Prospect town","X15M2024",295
"Putnam town","X15M2024",397
"Redding town","X15M2024",225
"Ridgefield town","X15M2024",720
"Rocky Hill town","X15M2024",490
"Roxbury town","X15M2024",50
"Salem town","X15M2024",138
"Salisbury town","X15M2024",50
"Scotland town","X15M2024",53
"Seymour town","X15M2024",505
"Sharon town","X15M2024",51
"Shelton town","X15M2024",1090
"Sherman town","X15M2024",85
"Simsbury town","X15M2024",754
"Somers town","X15M2024",595
"South Windsor town","X15M2024",912
"Southbury town","X15M2024",506
"Southington town","X15M2024",1194
"Sprague town","X15M2024",84
"Stafford town","X15M2024",389
"Stamford town","X15M2024",3230
"Sterling town","X15M2024",164
"Stonington town","X15M2024",510
"Stratford town","X15M2024",1552
"Suffield town","X15M2024",801
"Thomaston town","X15M2024",257
"Thompson town","X15M2024",333
"Tolland town","X15M2024",458
"Torrington town","X15M2024",1064
"Trumbull town","X15M2024",959
"Union town","X15M2024",24
"Vernon town","X15M2024",716
"Voluntown town","X15M2024",69
"Wallingford town","X15M2024",1281
"Warren town","X15M2024",44
"Washington town","X15M2024",101
"Waterbury town","X15M2024",4121
"Waterford town","X15M2024",605
"Watertown town","X15M2024",713
"West Hartford town","X15M2024",1988
"West Haven town","X15M2024",2260
"Westbrook town","X15M2024",236
"Weston town","X15M2024",274
"Westport town","X15M2024",730
"Wethersfield town","X15M2024",707
"Willington town","X15M2024",239
"Wilton town","X15M2024",470
"Winchester town","X15M2024",317
"Windham town","X15M2024",1560
"Windsor Locks town","X15M2024",382
"Windsor town","X15M2024",961
"Wolcott town","X15M2024",609
"Woodbridge town","X15M2024",271
"Woodbury town","X15M2024",270
"Woodstock town","X15M2024",278
"","X15M2024",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M2024",NA
"Andover town","X15M2529",56
"Ansonia town","X15M2529",552
"Ashford town","X15M2529",115
"Avon town","X15M2529",79
"Barkhamsted town","X15M2529",27
"Beacon Falls town","X15M2529",147
"Berlin town","X15M2529",342
"Bethany town","X15M2529",78
"Bethel town","X15M2529",402
"Bethlehem town","X15M2529",68
"Bloomfield town","X15M2529",502
"Bolton town","X15M2529",103
"Bozrah town","X15M2529",67
"Branford town","X15M2529",576
"Bridgeport town","X15M2529",7063
"Bridgewater town","X15M2529",3
"Bristol town","X15M2529",1724
"Brookfield town","X15M2529",251
"Brooklyn town","X15M2529",257
"Burlington town","X15M2529",91
"Canaan town","X15M2529",23
"Canterbury town","X15M2529",94
"Canton town","X15M2529",151
"Chaplin town","X15M2529",88
"Cheshire town","X15M2529",695
"Chester town","X15M2529",53
"Clinton town","X15M2529",214
"Colchester town","X15M2529",297
"Colebrook town","X15M2529",17
"Columbia town","X15M2529",92
"Cornwall town","X15M2529",17
"Coventry town","X15M2529",350
"Cromwell town","X15M2529",241
"Danbury town","X15M2529",3682
"Darien town","X15M2529",19
"Deep River town","X15M2529",62
"Derby town","X15M2529",436
"Durham town","X15M2529",70
"East Granby town","X15M2529",76
"East Haddam town","X15M2529",127
"East Hampton town","X15M2529",165
"East Hartford town","X15M2529",1621
"East Haven town","X15M2529",922
"East Lyme town","X15M2529",440
"East Windsor town","X15M2529",306
"Eastford town","X15M2529",41
"Easton town","X15M2529",38
"Ellington town","X15M2529",346
"Enfield town","X15M2529",1718
"Essex town","X15M2529",36
"Fairfield town","X15M2529",915
"Farmington town","X15M2529",480
"Franklin town","X15M2529",32
"Glastonbury town","X15M2529",316
"Goshen town","X15M2529",39
"Granby town","X15M2529",106
"Greenwich town","X15M2529",509
"Griswold town","X15M2529",351
"Groton town","X15M2529",2852
"Guilford town","X15M2529",131
"Haddam town","X15M2529",92
"Hamden town","X15M2529",2438
"Hampton town","X15M2529",19
"Hartford town","X15M2529",5158
"Hartland town","X15M2529",32
"Harwinton town","X15M2529",78
"Hebron town","X15M2529",125
"Kent town","X15M2529",34
"Killingly town","X15M2529",482
"Killingworth town","X15M2529",64
"Lebanon town","X15M2529",72
"Ledyard town","X15M2529",276
"Lisbon town","X15M2529",81
"Litchfield town","X15M2529",60
"Lyme town","X15M2529",24
"Madison town","X15M2529",55
"Manchester town","X15M2529",2152
"Mansfield town","X15M2529",1208
"Marlborough town","X15M2529",65
"Meriden town","X15M2529",1745
"Middlebury town","X15M2529",100
"Middlefield town","X15M2529",84
"Middletown town","X15M2529",1967
"Milford town","X15M2529",1142
"Monroe town","X15M2529",283
"Montville town","X15M2529",823
"Morris town","X15M2529",31
"Naugatuck town","X15M2529",925
"New Britain town","X15M2529",3560
"New Canaan town","X15M2529",18
"New Fairfield town","X15M2529",136
"New Hartford town","X15M2529",108
"New Haven town","X15M2529",6670
"New London town","X15M2529",1362
"New Milford town","X15M2529",519
"Newington town","X15M2529",771
"Newtown town","X15M2529",408
"Norfolk town","X15M2529",24
"North Branford town","X15M2529",288
"North Canaan town","X15M2529",81
"North Haven town","X15M2529",491
"North Stonington town","X15M2529",63
"Norwalk town","X15M2529",2669
"Norwich town","X15M2529",1512
"Old Lyme town","X15M2529",78
"Old Saybrook town","X15M2529",142
"Orange town","X15M2529",184
"Oxford town","X15M2529",172
"Plainfield town","X15M2529",386
"Plainville town","X15M2529",500
"Plymouth town","X15M2529",251
"Pomfret town","X15M2529",58
"Portland town","X15M2529",163
"Preston town","X15M2529",56
"Prospect town","X15M2529",227
"Putnam town","X15M2529",272
"Redding town","X15M2529",31
"Ridgefield town","X15M2529",48
"Rocky Hill town","X15M2529",527
"Roxbury town","X15M2529",16
"Salem town","X15M2529",41
"Salisbury town","X15M2529",9
"Scotland town","X15M2529",36
"Seymour town","X15M2529",407
"Sharon town","X15M2529",21
"Shelton town","X15M2529",867
"Sherman town","X15M2529",30
