District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
15,Bridgeport School District,2002-03,All,8435,2589
17,Bristol School District,2002-03,All,679,215
18,Brookfield School District,2002-03,All,53,8
23,Canton School District,2002-03,All,9,2
241,Capitol Region Education Council,2002-03,All,55,6
25,Cheshire School District,2002-03,All,173,21
27,Clinton School District,2002-03,All,45,20
28,Colchester School District,2002-03,All,23,9
900,Connecticut Technical High School System,2002-03,All,1490,494
33,Cromwell School District,2002-03,All,100,52
34,Danbury School District,2002-03,All,2455,1645
35,Darien School District,2002-03,All,124,33
37,Derby School District,2002-03,All,214,88
43,East Hartford School District,2002-03,All,1311,230
44,East Haven School District,2002-03,All,248,61
45,East Lyme School District,2002-03,All,109,25
46,Easton School District,2002-03,All,15,2
48,Ellington School District,2002-03,All,29,24
49,Enfield School District,2002-03,All,153,54
50,Essex School District,2002-03,All,7,7
51,Fairfield School District,2002-03,All,463,84
