StartDate,EndDate,State,Textbox36,textbox14,Textbox38,textbox6,textbox12City,textbox18
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Bhutan,Bridgeport,46
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Bhutan,Bridgeport,4
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Bhutan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Bhutan,Derby,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Bhutan,Derby,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Bhutan,Derby,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Bhutan,Derby,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Bhutan,Derby,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Bhutan,Derby,0
